Entity	Year	Annual COâ‚‚ emissions (per capita)
Georgia	1950	7835711
Germany	1950	719634
Ghana	1950	12555853
Greece	1950	5382281
Greenland	1950	4274825
Grenada	1950	9511448
Guatemala	1950	19969799
Guinea	1950	61134562
Guinea-Bissau	1950	13484941
Guyana	1950	62275034
Haiti	1950	3497863
High-income countries	1950	68566327
Honduras	1950	19284953
Hong Kong	1950	66586876
Hungary	1950	19694364
Iceland	1950	5187837
India	1950	1711455
Indonesia	1950	14130872
Iran	1950	5703596
Iraq	1950	29144135
Ireland	1950	3346216
Israel	1950	12998623
Italy	1950	89305586
Jamaica	1950	19264042
Japan	1950	12156167
Jordan	1950	3928129
Kazakhstan	1950	679207
Kenya	1950	15737168
Kuwait	1950	2502179
Kyrgyzstan	1950	22284088
Latvia	1950	23362985
Lebanon	1950	11204575
Liberia	1950	5200511
Libya	1950	1263806
Lithuania	1950	27140248
Low-income countries	1950	4846872
Lower-middle-income countries	1950	37711018
Luxembourg	1950	25014633
Macao	1950	0
Madagascar	1950	7690689
Malawi	1950	7951529
Malaysia	1950	61199105
Malta	1950	8410551
Mauritania	1950	0
Mauritius	1950	38352254
Mexico	1950	11053426
Moldova	1950	29560957
Mongolia	1950	3658072
Montenegro	1950	66929597
Morocco	1950	28613558
Mozambique	1950	15221341
Myanmar	1950	45252893
Nepal	1950	30537143
Netherlands	1950	50810905
New Caledonia	1950	34412372
New Zealand	1950	4482636
Nicaragua	1950	14316165
Niger	1950	11043511
Nigeria	1950	6069002
North America	1950	12814198
North America (excl. USA)	1950	3082738
North Korea	1950	7028775
North Macedonia	1950	12053295
Norway	1950	25696678
Oceania	1950	5181565
Pakistan	1950	14205551
Panama	1950	60823375
Papua New Guinea	1950	35622086
Paraguay	1950	41392382
Peru	1950	59148896
Philippines	1950	19513862
Poland	1950	45235944
Portugal	1950	66749316
Qatar	1950	14469108
Romania	1950	11844456
Russia	1950	4045541
Rwanda	1950	7823695
Saint Lucia	1950	42252872
Saint Pierre and Miquelon	1950	32590616
Saint Vincent and the Grenadines	1950	5951627
Samoa	1950	41650563
Saudi Arabia	1950	16637851
Senegal	1950	1449158
Serbia	1950	13188928
Sierra Leone	1950	7874478
Singapore	1950	19011713
Sint Maarten (Dutch part)	1950	46116486
Slovakia	1950	5343778
Slovenia	1950	15576211
Somalia	1950	21523159
South Africa	1950	4678921
South America	1950	99184644
South Korea	1950	10861934
South Sudan	1950	18365359
Spain	1950	11769071
Sri Lanka	1950	20473449
Sudan	1950	81377044
Suriname	1950	10855243
Sweden	1950	408513
Switzerland	1950	21806178
Syria	1950	11676509
Taiwan	1950	49632743
Tajikistan	1950	14490906
Tanzania	1950	6528794
Thailand	1950	4681731
Togo	1950	1833923
Tonga	1950	14700395
Trinidad and Tobago	1950	36266098
Tunisia	1950	3381391
Turkey	1950	45229724
Turkmenistan	1950	4600357
Tuvalu	1950	0
Uganda	1950	18477239
Ukraine	1950	35340333
United Kingdom	1950	10004824
United States	1950	17139591
Upper-middle-income countries	1950	84877837
Uruguay	1950	1098252
Uzbekistan	1950	27391696
Venezuela	1950	69736648
Vietnam	1950	58928996
World	1950	237238
Yemen	1950	1243928
Zambia	1950	10050611
Zimbabwe	1950	11391714
Afghanistan	1949	19921463
Africa	1949	34674028
Albania	1949	8254675
Algeria	1949	10236545
Andorra	1949	0
Argentina	1949	9200045
Armenia	1949	97851545
Asia	1949	2809317
Asia (excl. China and India)	1949	56473005
Australia	1949	59889903
Austria	1949	384133
Azerbaijan	1949	2573041
Bahrain	1949	3974093
Bangladesh	1949	48474493
Barbados	1949	17557226
Belarus	1949	21581786
Belgium	1949	9413
Bhutan	1949	0
Bolivia	1949	946057
Bosnia and Herzegovina	1949	10679748
Brazil	1949	14034759
Brunei	1949	245081
Bulgaria	1949	10498933
Canada	1949	10782731
Chile	1949	90488845
China	1949	11541034
Colombia	1949	44820404
Cote d'Ivoire	1949	0
Croatia	1949	7947023
Cuba	1949	3138114
Czechia	1949	6335759
Democratic Republic of Congo	1949	3944221
Denmark	1949	39922931
Dominican Republic	1949	11040426
Ecuador	1949	38065323
Egypt	1949	36178073
Estonia	1949	56085014
Ethiopia	1949	20702281
Europe	1949	41125617
Europe (excl. EU-27)	1949	4739646
Europe (excl. EU-28)	1949	32585144
European Union (27)	1949	3695722
European Union (28)	1949	4492558
Finland	1949	12415742
France	1949	55062785
Georgia	1949	7126264
Germany	1949	60961905
Greece	1949	21518615
Guatemala	1949	60460567
Guinea	1949	0
High-income countries	1949	62528057
Hong Kong	1949	15295512
Hungary	1949	21923473
Iceland	1949	53037434
India	1949	15787825
Indonesia	1949	32020068
Iran	1949	49095106
Iraq	1949	20579165
Ireland	1949	28661137
Israel	1949	9748245
Italy	1949	8625921
Japan	1949	11819394
Kazakhstan	1949	62256527
Kuwait	1949	7153504
Kyrgyzstan	1949	20276723
Latvia	1949	21028714
Lebanon	1949	8809245
Lithuania	1949	24530203
Low-income countries	1949	21430597
Lower-middle-income countries	1949	31226718
Luxembourg	1949	1963233
Madagascar	1949	9379333
Malaysia	1949	20862378
Mauritania	1949	0
Mexico	1949	10834855
Moldova	1949	26930828
Montenegro	1949	69826645
Morocco	1949	12391575
Mozambique	1949	10046208
Myanmar	1949	5879015
Netherlands	1949	50680156
New Zealand	1949	2987238
Nicaragua	1949	56250333
Nigeria	1949	40691152
North America	1949	11205211
North America (excl. USA)	1949	29407475
North Korea	1949	16256228
North Macedonia	1949	12647291
Norway	1949	32011957
Oceania	1949	4443873
Pakistan	1949	27750548
Panama	1949	3028914
Papua New Guinea	1949	0
Peru	1949	88166964
Philippines	1949	17680068
Poland	1949	42344003
Portugal	1949	66131324
Qatar	1949	11039423
Romania	1949	14189986
Russia	1949	36700027
Saudi Arabia	1949	60323205
Senegal	1949	0
Serbia	1949	13960288
Sierra Leone	1949	0
Singapore	1949	0
Slovakia	1949	5232528
Slovenia	1949	16337676
South Africa	1949	47465005
South America	1949	63971525
South Korea	1949	11088773
Spain	1949	12848823
Sweden	1949	385768
Switzerland	1949	18389218
Syria	1949	83617745
Taiwan	1949	6282308
Tajikistan	1949	13243519
Thailand	1949	311325
Trinidad and Tobago	1949	21812292
Tunisia	1949	35958927
Turkey	1949	3882413
Turkmenistan	1949	4205999
Tuvalu	1949	0
Ukraine	1949	32068775
United Kingdom	1949	9731059
United States	1949	14822593
Upper-middle-income countries	1949	7512161
Uruguay	1949	6588995
Uzbekistan	1949	25113106
Venezuela	1949	54106
Vietnam	1949	4401315
World	1949	2103328
Zimbabwe	1949	18822875
Africa	1948	32733774
Albania	1948	58099794
Algeria	1948	9181947
Andorra	1948	0
Argentina	1948	10613021
Armenia	1948	8732191
Asia	1948	28454104
Asia (excl. China and India)	1948	63671154
Australia	1948	5960746
Austria	1948	35503542
Azerbaijan	1948	229478
Bahrain	1948	39564407
Bangladesh	1948	34520244
Barbados	1948	17708097
Belarus	1948	19147155
Belgium	1948	9950596
Bhutan	1948	0
Bolivia	1948	6749811
Bosnia and Herzegovina	1948	94426125
Brazil	1948	15357992
Brunei	1948	17575823
Bulgaria	1948	8836286
Canada	1948	1202194
Chile	1948	9748543
China	1948	7197712
Colombia	1948	40129808
Cote d'Ivoire	1948	0
Croatia	1948	7009255
Cuba	1948	3211991
Czechia	1948	60544596
Democratic Republic of Congo	1948	3149575
Denmark	1948	4078243
Dominican Republic	1948	978623
Ecuador	1948	3879747
Egypt	1948	30597034
Estonia	1948	49338393
Ethiopia	1948	2079386
Europe	1948	37905762
Europe (excl. EU-27)	1948	44512744
Europe (excl. EU-28)	1948	29211304
European Union (27)	1948	3353666
European Union (28)	1948	41749334
Finland	1948	21469412
France	1948	47462525
Georgia	1948	633905
Germany	1948	53269467
Greece	1948	17812769
Guatemala	1948	4986535
Guinea	1948	0
High-income countries	1948	6744209
Hong Kong	1948	13938161
Hungary	1948	17626607
Iceland	1948	52441874
India	1948	14916655
Indonesia	1948	23036975
Iran	1948	4766897
Iraq	1948	0
Ireland	1948	28979177
Israel	1948	6763325
Italy	1948	7752891
Japan	1948	10720428
Kazakhstan	1948	55614285
Kuwait	1948	23183334
Kyrgyzstan	1948	18046826
Latvia	1948	1852079
Lebanon	1948	78663096
Lithuania	1948	21697614
Low-income countries	1948	1702134
Lower-middle-income countries	1948	3820089
Luxembourg	1948	17173988
Madagascar	1948	95599605
Malaysia	1948	20742151
Mauritania	1948	0
Mexico	1948	11795105
Moldova	1948	23981884
Montenegro	1948	60986775
Morocco	1948	10907374
Mozambique	1948	76684845
Myanmar	1948	8961038
Netherlands	1948	4805172
New Zealand	1948	29800363
Nicaragua	1948	57879686
Nigeria	1948	45759745
North America	1948	13531712
North America (excl. USA)	1948	333737
North Korea	1948	13004649
North Macedonia	1948	11148553
Norway	1948	3409945
Oceania	1948	44369144
Pakistan	1948	19942466
Panama	1948	26614688
Papua New Guinea	1948	0
Peru	1948	86525404
Philippines	1948	12302836
Poland	1948	35295322
Portugal	1948	6349517
Romania	1948	14413784
Russia	1948	32583272
Saudi Arabia	1948	5954311
Serbia	1948	12453104
Sierra Leone	1948	0
Singapore	1948	0
Slovakia	1948	50066953
Slovenia	1948	14415998
South Africa	1948	45651846
South America	1948	6429908
South Korea	1948	8740277
Spain	1948	11857615
Sweden	1948	44690375
Switzerland	1948	2225985
Syria	1948	7438366
Taiwan	1948	68881774
Tajikistan	1948	11810846
Thailand	1948	20693545
Trinidad and Tobago	1948	20628847
Tunisia	1948	41782767
Turkey	1948	38259485
Turkmenistan	1948	37505648
Tuvalu	1948	0
Ukraine	1948	28502476
United Kingdom	1948	9577528
United States	1948	17940481
Upper-middle-income countries	1948	6633548
Uruguay	1948	6666578
Uzbekistan	1948	22426548
Venezuela	1948	4964907
Vietnam	1948	42019017
World	1948	22258415
Zimbabwe	1948	17007232
Africa	1947	31506482
Albania	1947	774856
Algeria	1947	8638843
Andorra	1947	0
Argentina	1947	9028329
Armenia	1947	829733
Asia	1947	2836305
Asia (excl. China and India)	1947	63272953
Australia	1947	57690525
Austria	1947	25647802
Azerbaijan	1947	21796222
Bahrain	1947	3399776
Bangladesh	1947	31542254
Barbados	1947	17854705
Belarus	1947	18167769
Belgium	1947	9629662
Bhutan	1947	0
Bolivia	1947	55591393
Bosnia and Herzegovina	1947	8440337
Brazil	1947	17976093
Brunei	1947	117805984
Bulgaria	1947	84665793
Canada	1947	11086596
Chile	1947	91282463
China	1947	78831576
Colombia	1947	46384883
Cote d'Ivoire	1947	0
Croatia	1947	6264739
Cuba	1947	34218267
Czechia	1947	56420703
Democratic Republic of Congo	1947	2792498
Denmark	1947	5181152
Dominican Republic	1947	3375205
Ecuador	1947	36037296
Egypt	1947	22538629
Estonia	1947	4624374
Europe	1947	35330973
Europe (excl. EU-27)	1947	42836523
Europe (excl. EU-28)	1947	27700388
European Union (27)	1947	30397892
European Union (28)	1947	38680031
Finland	1947	13947167
France	1947	44513903
Georgia	1947	6022644
Germany	1947	44693284
Greece	1947	2221159
Guatemala	1947	51382743
Guinea	1947	0
High-income countries	1947	6464076
Hong Kong	1947	10554882
Hungary	1947	1489893
Iceland	1947	4430722
India	1947	1479919
Indonesia	1947	6124421
Iran	1947	39149456
Iraq	1947	28086338
Ireland	1947	30243206
Israel	1947	14353167
Italy	1947	80761707
Japan	1947	8642439
Kazakhstan	1947	52719584
Kuwait	1947	46811127
Kyrgyzstan	1947	17108767
Latvia	1947	17395138
Lebanon	1947	6582754
Lithuania	1947	2051524
Low-income countries	1947	4519741
Lower-middle-income countries	1947	34853774
Luxembourg	1947	14693683
Madagascar	1947	973204
Malaysia	1947	12143477
Mauritania	1947	0
Mexico	1947	11733247
Moldova	1947	22739186
Montenegro	1947	5374605
Morocco	1947	9779543
Mozambique	1947	10419142
Myanmar	1947	15177069
Netherlands	1947	45941772
New Zealand	1947	29981256
Nicaragua	1947	59521715
Nigeria	1947	44394936
North America	1947	13210185
North America (excl. USA)	1947	3146897
North Korea	1947	6847893
North Macedonia	1947	99104196
Norway	1947	3330741
Oceania	1947	43274937
Pakistan	1947	18432835
Papua New Guinea	1947	0
Peru	1947	81444013
Philippines	1947	1153048
Poland	1947	35651448
Portugal	1947	6763992
Romania	1947	10105662
Russia	1947	30903358
Saudi Arabia	1947	12636632
Serbia	1947	11284009
Sierra Leone	1947	0
Singapore	1947	0
Slovakia	1947	46509457
Slovenia	1947	12892925
South Africa	1947	45498047
South America	1947	587939
South Korea	1947	48331134
Spain	1947	11396006
Sweden	1947	3676768
Switzerland	1947	20808475
Syria	1947	7543462
Taiwan	1947	5698541
Tajikistan	1947	1120775
Thailand	1947	1544021
Trinidad and Tobago	1947	2015164
Tunisia	1947	37137415
Turkey	1947	3778548
Turkmenistan	1947	3566349
Tuvalu	1947	0
Ukraine	1947	27030578
United Kingdom	1947	9325638
United States	1947	17508738
Upper-middle-income countries	1947	6397182
Uruguay	1947	674195
Uzbekistan	1947	21374583
Venezuela	1947	40957527
Vietnam	1947	30742902
World	1947	21292646
Zimbabwe	1947	15429304
Africa	1946	32124582
Albania	1946	40916798
Algeria	1946	89851215
Andorra	1946	0
Argentina	1946	86872613
Armenia	1946	69615674
Asia	1946	23670022
Asia (excl. China and India)	1946	5126216
Australia	1946	5595715
Austria	1946	18625914
Azerbaijan	1946	18284426
Bahrain	1946	28793528
Bangladesh	1946	30758297
Belarus	1946	15230895
Belgium	1946	6645066
Bhutan	1946	0
Bolivia	1946	53329583
Bosnia and Herzegovina	1946	61113715
Brazil	1946	15386443
Brunei	1946	20997135
Bulgaria	1946	71882576
Canada	1946	10886324
Chile	1946	8852019
China	1946	6839545
Colombia	1946	4652095
Cote d'Ivoire	1946	0
Croatia	1946	45574135
Cuba	1946	30981535
Czechia	1946	45751257
Democratic Republic of Congo	1946	27113287
Denmark	1946	4307488
Ecuador	1946	35414463
Egypt	1946	22137754
Estonia	1946	38306563
Europe	1946	30779703
Europe (excl. EU-27)	1946	38120632
Europe (excl. EU-28)	1946	22905517
European Union (27)	1946	25996501
European Union (28)	1946	34203231
Finland	1946	8465546
France	1946	40204406
Georgia	1946	5052692
Germany	1946	38143752
Greece	1946	1649835
Guatemala	1946	52946303
Guinea	1946	0
High-income countries	1946	58221397
Hungary	1946	11631236
Iceland	1946	3830286
India	1946	14425357
Indonesia	1946	20573946
Iran	1946	37476957
Iraq	1946	2889801
Ireland	1946	28134968
Israel	1946	11913311
Italy	1946	48959672
Japan	1946	6595026
Kazakhstan	1946	44172225
Kuwait	1946	17171436
Kyrgyzstan	1946	14335595
Latvia	1946	14436867
Lebanon	1946	58314133
Lithuania	1946	17130353
Low-income countries	1946	43376093
Lower-middle-income countries	1946	31623742
Luxembourg	1946	12222708
Malaysia	1946	10897332
Mauritania	1946	0
Mexico	1946	10590736
Moldova	1946	1905503
Montenegro	1946	38372022
Morocco	1946	8177572
Mozambique	1946	994744
Myanmar	1946	44065705
Netherlands	1946	32455068
New Zealand	1946	30896485
Nicaragua	1946	30600945
Nigeria	1946	4742192
North America	1946	12242386
North America (excl. USA)	1946	30499172
North Korea	1946	6961755
North Macedonia	1946	7298837
Norway	1946	22377732
Oceania	1946	4220124
Pakistan	1946	18152596
Papua New Guinea	1946	0
Peru	1946	80836165
Philippines	1946	67858035
Poland	1946	39965856
Portugal	1946	4793121
Romania	1946	10823876
Russia	1946	25900843
Saudi Arabia	1946	8501508
Serbia	1946	82753026
Sierra Leone	1946	0
Singapore	1946	0
Slovakia	1946	4117043
Slovenia	1946	93629384
South Africa	1946	46544867
South America	1946	11505461
South Korea	1946	2700406
Spain	1946	10356616
Sweden	1946	25713384
Switzerland	1946	12832824
Syria	1946	65572625
Taiwan	1946	45436168
Tajikistan	1946	93961626
Trinidad and Tobago	1946	18889566
Tunisia	1946	38817342
Turkey	1946	36098206
Turkmenistan	1946	29936695
Tuvalu	1946	0
Ukraine	1946	22653131
United Kingdom	1946	8851512
United States	1946	16121332
Upper-middle-income countries	1946	6214029
Uruguay	1946	664643
Uzbekistan	1946	17964431
Venezuela	1946	16451778
Vietnam	1946	3180984
World	1946	19376519
Zimbabwe	1946	16795832
Africa	1945	32344264
Albania	1945	10353056
Algeria	1945	736583
Andorra	1945	0
Argentina	1945	88312054
Armenia	1945	6268554
Asia	1945	24736845
Asia (excl. China and India)	1945	502587
Australia	1945	5209843
Austria	1945	6681169
Azerbaijan	1945	16458224
Bahrain	1945	2613503
Belarus	1945	13688244
Belgium	1945	4581085
Bhutan	1945	0
Bolivia	1945	55912092
Bosnia and Herzegovina	1945	3115723
Brazil	1945	14445925
Brunei	1945	20617958
Bulgaria	1945	7589128
Canada	1945	10452736
Chile	1945	9366234
China	1945	1064322
Colombia	1945	43014407
Cote d'Ivoire	1945	0
Croatia	1945	23385407
Cuba	1945	20652507
Czechia	1945	32720385
Democratic Republic of Congo	1945	15224402
Denmark	1945	34658437
Ecuador	1945	4066568
Egypt	1945	23437251
Estonia	1945	3399394
Europe	1945	22968955
Europe (excl. EU-27)	1945	35181844
Europe (excl. EU-28)	1945	2002801
European Union (27)	1945	15090362
European Union (28)	1945	2423416
Finland	1945	16645867
France	1945	2616853
Georgia	1945	45488033
Germany	1945	1626086
Greece	1945	8769778
Guatemala	1945	54557445
Guinea	1945	0
High-income countries	1945	54198866
Hungary	1945	88381654
Iceland	1945	33025787
India	1945	14496106
Indonesia	1945	58662757
Iran	1945	33199203
Iraq	1945	29412158
Ireland	1945	2346109
Israel	1945	6866868
Italy	1945	9670476
Japan	1945	9722865
Kazakhstan	1945	39644074
Kyrgyzstan	1945	1286764
Latvia	1945	12840723
Lebanon	1945	5940709
Lithuania	1945	15349206
Low-income countries	1945	2960173
Lower-middle-income countries	1945	291687
Luxembourg	1945	8540352
Madagascar	1945	20337612
Malaysia	1945	112172775
Mauritania	1945	0
Mexico	1945	96650314
Moldova	1945	17109649
Montenegro	1945	19289824
Morocco	1945	6350354
Mozambique	1945	8768577
Myanmar	1945	18135795
Netherlands	1945	15489123
New Zealand	1945	31874444
Nicaragua	1945	62946784
Nigeria	1945	4071559
North America	1945	1292116
North America (excl. USA)	1945	29322991
North Korea	1945	63697207
North Macedonia	1945	37894776
Norway	1945	12810465
Oceania	1945	4005228
Papua New Guinea	1945	0
Peru	1945	89378554
Philippines	1945	89164276
Poland	1945	22291417
Portugal	1945	4151064
Romania	1945	11745869
Russia	1945	23259938
Saudi Arabia	1945	30057127
Serbia	1945	4272815
Sierra Leone	1945	0
Singapore	1945	0
Slovakia	1945	33285983
Slovenia	1945	47886553
South Africa	1945	47289643
South America	1945	5365891
South Korea	1945	20727544
Spain	1945	10512903
Sweden	1945	67989767
Switzerland	1945	36479387
Syria	1945	5541387
Taiwan	1945	34423268
Tajikistan	1945	84448
Trinidad and Tobago	1945	19582407
Tunisia	1945	28457304
Turkey	1945	37062424
Turkmenistan	1945	2698915
Tuvalu	1945	0
Ukraine	1945	2034123
United Kingdom	1945	8508798
United States	1945	17084375
Upper-middle-income countries	1945	53655916
Uruguay	1945	5167212
Uzbekistan	1945	16244482
Venezuela	1945	33299625
Vietnam	1945	28215574
World	1945	17885866
Zimbabwe	1945	17714489
Africa	1944	3243292
Albania	1944	13336176
Algeria	1944	60518295
Andorra	1944	0
Argentina	1944	91897327
Armenia	1944	60012114
Asia	1944	33383882
Asia (excl. China and India)	1944	6744335
Australia	1944	55465484
Austria	1944	13800573
Azerbaijan	1944	15748113
Bahrain	1944	23934896
Belarus	1944	13065082
Belgium	1944	3930711
Bhutan	1944	0
Bolivia	1944	46310272
Bosnia and Herzegovina	1944	55225356
Brazil	1944	12814638
Brunei	1944	56461067
Bulgaria	1944	6448091
Canada	1944	11450211
Chile	1944	10385487
China	1944	19717897
Colombia	1944	46590275
Cote d'Ivoire	1944	0
Croatia	1944	4174177
Cuba	1944	1691753
Czechia	1944	5934655
Democratic Republic of Congo	1944	15466659
Denmark	1944	50599732
Ecuador	1944	45337662
Egypt	1944	24078307
Eritrea	1944	24263166
Estonia	1944	32017555
Europe	1944	35299282
Europe (excl. EU-27)	1944	35814984
Europe (excl. EU-28)	1944	1914322
European Union (27)	1944	34969158
European Union (28)	1944	42190046
Finland	1944	7144878
France	1944	19602842
Georgia	1944	43533108
Germany	1944	8392185
Greece	1944	14719153
Guatemala	1944	4216418
Guinea	1944	0
High-income countries	1944	67384105
Hungary	1944	17100856
Iceland	1944	3518512
India	1944	12979308
Indonesia	1944	13566922
Iran	1944	26373732
Iraq	1944	27483902
Ireland	1944	21828845
Israel	1944	85493885
Italy	1944	7998864
Japan	1944	17846761
Kazakhstan	1944	37758725
Kyrgyzstan	1944	12258308
Latvia	1944	12126081
Lebanon	1944	5446814
Lithuania	1944	14620899
Low-income countries	1944	17823003
Lower-middle-income countries	1944	26432192
Malaysia	1944	20562328
Mauritania	1944	0
Mexico	1944	8892724
Moldova	1944	16309339
Montenegro	1944	3371967
Morocco	1944	51810972
Mozambique	1944	10308772
Myanmar	1944	19112246
Netherlands	1944	24992619
New Zealand	1944	31503887
Nicaragua	1944	32361825
Nigeria	1944	4969419
North America	1944	1362521
North America (excl. USA)	1944	31252234
North Korea	1944	18004816
North Macedonia	1944	68151136
Norway	1944	15727881
Oceania	1944	4244469
Papua New Guinea	1944	0
Peru	1944	9362102
Poland	1944	69538517
Portugal	1944	40758967
Romania	1944	9378902
Russia	1944	2217315
Saudi Arabia	1944	11225336
Serbia	1944	76709515
Sierra Leone	1944	0
Singapore	1944	0
Slovakia	1944	62953696
Slovenia	1944	8512045
South Africa	1944	47074795
South America	1944	54628885
South Korea	1944	59320096
Spain	1944	96744514
Sweden	1944	18778677
Switzerland	1944	1011716
Syria	1944	56196786
Taiwan	1944	7301262
Tajikistan	1944	806059
Thailand	1944	8336704
Trinidad and Tobago	1944	19690067
Tunisia	1944	27771074
Turkey	1944	3734684
Turkmenistan	1944	25888839
Tuvalu	1944	0
Ukraine	1944	19388301
United Kingdom	1944	9040819
United States	1944	17948437
Upper-middle-income countries	1944	5713337
Uruguay	1944	45279074
Uzbekistan	1944	15655636
Venezuela	1944	3287684
Vietnam	1944	67256406
World	1944	21663656
Zimbabwe	1944	19404495
Africa	1943	29735428
Albania	1943	4049297
Algeria	1943	57818197
Andorra	1943	0
Argentina	1943	94508845
Armenia	1943	41762123
Asia	1943	33515197
Asia (excl. China and India)	1943	6720887
Australia	1943	56591496
Austria	1943	14172183
Azerbaijan	1943	10959024
Bahrain	1943	23334225
Belarus	1943	9091921
Belgium	1943	68859353
Bhutan	1943	0
Bolivia	1943	4889582
Bosnia and Herzegovina	1943	22177992
Brazil	1943	14447427
Brunei	1943	42760334
Bulgaria	1943	8609498
Canada	1943	11464969
Chile	1943	10529982
China	1943	20974888
Colombia	1943	3755572
Cote d'Ivoire	1943	0
Croatia	1943	16809387
Cuba	1943	16600851
Czechia	1943	62669287
Democratic Republic of Congo	1943	20082308
Denmark	1943	52011013
Ecuador	1943	37213936
Egypt	1943	23263827
Eritrea	1943	1970197
Estonia	1943	2202576
Ethiopia	1943	623873
Europe	1943	37583966
Europe (excl. EU-27)	1943	32421641
Europe (excl. EU-28)	1943	13698071
European Union (27)	1943	40867906
European Union (28)	1943	4769691
Finland	1943	10426828
France	1943	30806637
Georgia	1943	30294445
Germany	1943	9478794
Greece	1943	28566908
Guatemala	1943	4344723
Guinea	1943	0
High-income countries	1943	6849964
Hungary	1943	20725336
Iceland	1943	37276647
India	1943	1259883
Indonesia	1943	29543975
Iran	1943	19448105
Iraq	1943	24380422
Ireland	1943	24424715
Israel	1943	8500596
Italy	1943	15996632
Japan	1943	19648433
Kazakhstan	1943	26276095
Kyrgyzstan	1943	8530493
Latvia	1943	83555037
Lebanon	1943	3082742
Lithuania	1943	10127066
Low-income countries	1943	17162411
Lower-middle-income countries	1943	21253283
Malaysia	1943	25011694
Mauritania	1943	0
Mexico	1943	87078136
Moldova	1943	11349576
Montenegro	1943	13797713
Morocco	1943	44334356
Mozambique	1943	9790039
Myanmar	1943	2589592
Netherlands	1943	37898493
New Zealand	1943	3141402
Nicaragua	1943	6656898
Nigeria	1943	41634936
North America	1943	12923981
North America (excl. USA)	1943	31214266
North Korea	1943	17324554
North Macedonia	1943	39561035
Norway	1943	17712185
Oceania	1943	4332158
Papua New Guinea	1943	0
Peru	1943	9701146
Poland	1943	713858
Portugal	1943	3729306
Romania	1943	13804041
Russia	1943	15431064
Saudi Arabia	1943	692445
Serbia	1943	3129383
Sierra Leone	1943	0
Singapore	1943	0
Slovakia	1943	6623089
Slovenia	1943	34177512
South Africa	1943	42875905
South America	1943	5039801
South Korea	1943	5778662
Spain	1943	9023273
Sweden	1943	24136796
Switzerland	1943	14181014
Syria	1943	11398468
Taiwan	1943	10233332
Tajikistan	1943	5609316
Thailand	1943	19244674
Trinidad and Tobago	1943	19319168
Tunisia	1943	1579693
Turkey	1943	33094132
Turkmenistan	1943	18015906
Tuvalu	1943	0
Ukraine	1943	13492215
United Kingdom	1943	9338569
United States	1943	16911407
Upper-middle-income countries	1943	49095133
Uruguay	1943	31694975
Uzbekistan	1943	10894672
Venezuela	1943	23098001
Vietnam	1943	13452716
World	1943	215036
Zimbabwe	1943	19459594
Africa	1942	2956288
Albania	1942	66028625
Algeria	1942	6239821
Andorra	1942	0
Argentina	1942	922407
Armenia	1942	40382347
Asia	1942	34247693
Asia (excl. China and India)	1942	6393895
Australia	1942	586701
Austria	1942	12643101
Azerbaijan	1942	10596955
Bahrain	1942	22028612
Belarus	1942	8791534
Belgium	1942	7294848
Bhutan	1942	0
Bolivia	1942	45351624
Brazil	1942	13438162
Brunei	1942	28716057
Bulgaria	1942	799241
Canada	1942	11084097
Chile	1942	10193915
China	1942	24687532
Colombia	1942	42899814
Cote d'Ivoire	1942	0
Cuba	1942	16998302
Czechia	1942	56664453
Democratic Republic of Congo	1942	13256618
Denmark	1942	41996107
Ecuador	1942	3826223
Egypt	1942	22320671
Eritrea	1942	14998466
Estonia	1942	210542
Ethiopia	1942	623873
Europe	1942	37616658
Europe (excl. EU-27)	1942	32902944
Europe (excl. EU-28)	1942	13213145
European Union (27)	1942	4059548
European Union (28)	1942	4787
Finland	1942	74856985
France	1942	30239975
Georgia	1942	29293552
Germany	1942	9298256
Greece	1942	3063862
Guatemala	1942	44769305
Guinea	1942	0
High-income countries	1942	6772744
Hungary	1942	20337036
Iceland	1942	35132532
India	1942	14351086
Indonesia	1942	14835915
Iran	1942	19022479
Iraq	1942	1831295
Ireland	1942	24102297
Israel	1942	11503716
Italy	1942	94786507
Japan	1942	19546081
Kazakhstan	1942	25407956
Kyrgyzstan	1942	824865
Latvia	1942	80000114
Lebanon	1942	30148855
Lithuania	1942	9746725
Low-income countries	1942	17837259
Lower-middle-income countries	1942	21962261
Malaysia	1942	12718852
Mauritania	1942	0
Mexico	1942	8965641
Moldova	1942	109746
Morocco	1942	4181941
Mozambique	1942	56919167
Myanmar	1942	6578884
Netherlands	1942	38028536
New Zealand	1942	3026926
Nigeria	1942	3862446
North America	1942	12709658
North America (excl. USA)	1942	305566
North Korea	1942	18174559
Norway	1942	15194427
Oceania	1942	4467558
Papua New Guinea	1942	0
Peru	1942	9064769
Poland	1942	64314394
Portugal	1942	38729438
Romania	1942	14818316
Russia	1942	14922096
Saudi Arabia	1942	6667003
Sierra Leone	1942	0
Singapore	1942	0
Slovakia	1942	60209794
South Africa	1942	4339325
South America	1942	51135665
South Korea	1942	61373632
Spain	1942	87990457
Sweden	1942	200449
Switzerland	1942	13555924
Syria	1942	17339114
Taiwan	1942	10414158
Tajikistan	1942	5423992
Trinidad and Tobago	1942	2063309
Tunisia	1942	5041329
Turkey	1942	27209502
Turkmenistan	1942	17420682
Tuvalu	1942	0
Ukraine	1942	13046446
United Kingdom	1942	966495
United States	1942	1658958
Upper-middle-income countries	1942	49113923
